,School Name,BD,Region,"Before SchoolGrant Program",After School Grant Program,Youth Services
,MADISON EL,5,East,,Woodcraft Rangers,Youth Services
,MADISON MS,6,North,,L.A. Conservation Corps,Youth Services
,MAGNOLIA AVE EL,5,West,Ready-Set-Go!,LA's Best,Youth Services
,MAIN ST EL,7,East,Ready-Set-Go!,LA's Best,Youth Services
,MALABAR ST EL,2,East,,L.A. Conservation Corps,Youth Services
,MANCHESTER AVE EL,1,South,Ready-Set-Go!,LA's Best,Youth Services
,MANHATTAN PLACE EL,1,South,Ready-Set-Go!,LA's Best,Youth Services
,MANN UCLA COMM SCH,1,South,,YS PLUS,Youth Services
,MANUAL ARTS SH,1,South,,Woodcraft Rangers,
,MAPLE PC,5,East,,Youth Development Program,
,MAR VISTA EL,4,West,,STAR Education,Youth Services
,MARIANNA AVE EL,2,East,,Youth Development Program,Youth Services
,MARINA DEL REY MS,4,West,,Team Prime Time,Youth Services
,MARIPOSA-NABI PC,5,West,,LA's Best,Youth Services
,MARK TWAIN MS,4,West,,Boys & Girls Clubs of Carson,Youth Services
,MARKHAM MS,7,South,,Boys & Girls Clubs of Carson,Youth Services
,MARLTON SCHOOL,1,West,,LA's Best,
,MARQUEZ CHARTER,4,West,,STAR Education,Youth Services
,MARQUEZ SH LIBRA,5,East,,EduCare Foundation,
,MARSHALL SH,2,West,,LACER,
,MARVIN EL,1,West,,Youth Development Program,Youth Services
,MAYALL ST AC A/T MAGNET,3,North,,LA's Best,Youth Services
,MAYBERRY ST EL,5,West,,LA's Best,Youth Services
,MAYWOOD ACADEMY SH,5,East,,ARC,
,MAYWOOD EL,5,East,,Youth Development Program,Youth Services
,MCKINLEY AVE EL,7,South,,Youth Development Program,Youth Services
,MELROSE AVE EL M/S MAGNET,4,West,,STAR Education,Youth Services
,MELVIN AVE EL,3,North,,Keep Youth Doing Something,Youth Services
,MENDEZ SH,2,East,,Legacy LA,
,MENLO AVE EL,1,South,Ready-Set-Go!,LA's Best,Youth Services
,MEYLER ST EL,7,South,,Youth Development Program,Youth Services
,MICHELTORENA ST EL,5,West,Ready-Set-Go!,LA's Best,Youth Services
,MID-CITY PSES MAGNET,1,West,,Creative Brain Learning,Youth Services
,MIDDLETON ST EL,5,East,Ready-Set-Go!,Woodcraft Rangers,Youth Services
,MIDDLETON ST PC,5,East,,LA's Best,
,MILES AVE EL,5,East,Ready-Set-Go!,Woodcraft Rangers,Youth Services
,MILLER EL,1,South,Ready-Set-Go!,LA's Best,Youth Services
,MIRAMONTE EL,7,South,Ready-Set-Go!,Youth Development Program,Youth Services
,MONLUX EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,MONROE SH,6,North,,Keep Youth Doing Something,
